documenso/documenso | ★14839 | upd:2026-09-01 | lic:AGPL-3.0 | The Open Source DocuSign Alternative.
OpenSignLabs/OpenSign | ★6941 | upd:2026-08-21 | lic:NOASSERTION | 🔥 The free & Open Source DocuSign alternative
Keyfactor/signserver-ce | ★431 | upd:2026-01-30 | lic:LGPL-2.1 | SignServer – Open source, PKI-based signing software to sign code, documents, timestamps and more.
DottedSign-Official/dottedsign-self-hosted | ★52 | upd:2026-07-09 | lic:NOASSERTION | DottedSign Self-Hosted: Enterprise-grade open-source eSignature system for data sovereignty. Securely deploy and sign on-premise via Docker Compose.
Steviewonders99/signcraft | ★6 | upd:2026-03-24 | lic:MIT | Open-source AI contract review & e-signature platform. Free alternative to DocuSign, Adobe Sign & PandaDoc. Draft, review, and sign legal contracts with AI-powered clause analysis.
asalazarvaldiviaocg/biometrical-verify | ★5 | upd:2026-08-09 | lic:MIT | Open-source biometric identity verification for digital contracts. Face match + liveness + deepfake detection + signed receipts.  Built by biometrical.org.
gitudaniel/libresign | ★4 | upd:2018-08-24 | lic:MIT | A open source esignature API for adding signature images to PDFs - written in Python/Flask/ReactJS
contractmindai/docsign | ★2 | upd:2026-06-08 | lic:MIT | DocSign — Free PDF Editor & eSignature Tool | Sign PDFs, Annotate, Redact, Scan, Templates | No Account Required | 100% Offline | Open Source Alternative to DocuSign & Adobe Acrobat | Built with Flutter
penpact/penpact | ★2 | upd:2026-06-05 | lic:AGPL-3.0 | Open-source e-signature API for developers. Embed legally-binding electronic signatures in your app, self-hosted or cloud. The open DocuSign / DocuSeal / Documenso alternative, with a typed TypeScript SDK and AI field detection.
RomanSlack/free_esign_website | ★1 | upd:2026-02-02 | lic:none | Free, open-source e-signature website for signing simple documents online. This is a hosted, single-page web app that lets you upload a PDF, add a signature, and download the signed file instantly, with no login, no accounts, and no restrictions. Ideal for quick, basic document signing without using paid services.
simplegithubs/DocTransfer3949 | ★1 | upd:2026-08-30 | lic:MIT | Secure, open-source document sharing, virtual data room (VDR), and e-signature platform with client-side zero-knowledge encryption.
FreeSign-io/fcli | ★0 | upd:2026-05-05 | lic:AGPL-3.0 | fcli — command-line tool for FreeSign, the open-source eSignature platform.
signedbyai/truedoc | ★0 | upd:2026-08-25 | lic:Apache-2.0 | Open-source, zero-dependency, offline verifier for signed and timestamped PDFs. Runs entirely in your browser; makes no network requests.
JoshAMS/SimpleAgency | ★0 | upd:2026-08-18 | lic:AGPL-3.0 | An Open Source Insurance Agency Management System using Google Firebase as backend database. Host front end locally or on your web server. Easily access Clients, Files, Policies, COIs and Applications. Esignature built in.
api-evangelist/docuseal | ★0 | upd:2026-08-30 | lic:none | DocuSeal — independent third-party profile of a public API surface, by API Evangelist. DocuSeal is an open-source document signing platform that provides a REST API for building electronic signature workflows into applications. The API supports creating and managing templates, sending signature requests via submissions, and tracking signing status
