Litlyx/litlyx | ★1740 | upd:2025-12-03 | lic:Apache-2.0 | Powerful Analytics Solution. Setup in 30 seconds. Display all your data on a Simple, AI-powered dashboard. Fully self-hostable and GDPR compliant. Alternative to Google Analytics, MixPanel, Plausible, Umami & Matomo.
4lejandrito/next-plausible | ★709 | upd:2026-04-03 | lic:MIT | Simple integration for https://nextjs.org and https://plausible.io analytics
plausible/docs | ★418 | upd:2026-08-26 | lic:CC-BY-SA-4.0 | Documentation for Plausible Analytics
plausible/plausible-tracker | ★287 | upd:2025-08-12 | lic:MIT | Frontend library to interact with Plausible Analytics
divinerites/plausible-hugo | ★140 | upd:2026-07-04 | lic:GPL-3.0 | Dead simple integration between plausible.io and gohugo.io
nuxt-modules/plausible | ★119 | upd:2026-08-08 | lic:MIT | 🎟️ Privacy-friendly web analytics for Nuxt, powered by Plausible
moritzsternemann/vue-plausible | ★118 | upd:2022-07-13 | lic:MIT | Plausible Analytics Vue.js Plugin and NuxtJS Module
plausible/wordpress | ★77 | upd:2026-08-31 | lic:MIT | Plausible Analytics WordPress plugin
cassidyjames/tally | ★64 | upd:2026-07-28 | lic:GPL-3.0 | Hybrid native + web app for Plausible Analytics
d1ceward-on-dokku/plausible_on_dokku | ★48 | upd:2026-06-07 | lic:Unlicense | Dockerfile to run Plausible (analytics) on Dokku (mini-Heroku)
8gears/plausible-analytics-helm-chart | ★43 | upd:2023-11-08 | lic:Apache-2.0 | A Plausible Analytics Helm Chart for Kubernetes
getsentry/plausible-mcp | ★38 | upd:2026-08-31 | lic:MIT | MCP server for Plausible Analytics — query traffic, conversions, and compare periods from any AI tool
Accoil/product-tracking-skills | ★38 | upd:2026-03-11 | lic:MIT | AI skills that scan your codebase, design a tracking plan, and generate instrumentation code for product analytics. Supports Segment, Amplitude, Mixpanel, PostHog, Accoil, and 20 other destinations.
mrusme/conclusive | ★37 | upd:2025-04-08 | lic:GPL-3.0 | Conclusive. A command line client for Plausible Analytics.
Alpine418/ReverseProxy-PlausibleAnalytics | ★32 | upd:2023-06-12 | lic:MIT | Reverse proxy for Plausible Analytics, written in PHP for Shared Hostings on Apache.
