docusealco/docuseal | ★18410 | upd:2026-08-31 | lic:AGPL-3.0 | Open source DocuSign alternative. Create, fill, and sign digital documents ✍️
docusealco/docuseal-react | ★68 | upd:2026-05-12 | lic:MIT | Embed Document Signing and Form Builder into React app
Yasha-ops/docuseal-pro | ★15 | upd:2026-06-23 | lic:AGPL-3.0 | 
docusealco/docuseal-vue | ★13 | upd:2026-05-10 | lic:MIT | DocuSeal Vue components to integrate documents signing process into apps.
docusealco/docuseal-react-examples | ★13 | upd:2025-07-23 | lic:none | DocuSeal React examples with ExpressJS API + React SSR and NextJS SSR
aaked-app/aakd | ★10 | upd:2026-08-20 | lic:AGPL-3.0 | Open-source, self-hosted AI-native contract lifecycle management (CLM) for contract operations.
docusealco/docuseal-php | ★9 | upd:2026-08-25 | lic:MIT | DocuSeal PHP Document Signing API client
docusealco/docuseal-embed-app | ★8 | upd:2024-11-02 | lic:none | DocuSeal Embedding Demo App
docusealco/docuseal-agent-skills | ★8 | upd:2026-08-06 | lic:MIT | DocuSeal's official collection of agent skills
docusealco/docuseal-js | ★7 | upd:2026-08-24 | lic:MIT | TypeScript / JavaScript library for the Document Signing API.
docusealco/docuseal-angular | ★6 | upd:2026-05-12 | lic:MIT | Embed Document Signing and Form Builder into Angular app
serkanhaslak/n8n-nodes-docuseal | ★5 | upd:2025-07-11 | lic:MIT | 
zgbrenner/whereas | ★5 | upd:2026-08-09 | lic:GPL-3.0 | The open-source contract repository.  Built-in clause extraction, playbook deviation analysis, and embedded e-signature via DocuSeal.
cartenca73/integration_docuseal | ★4 | upd:2026-05-13 | lic:NOASSERTION | DocuSeal Enterprise integration for Nextcloud - Electronic signatures directly from Nextcloud Files
docusealco/docuseal-python | ★4 | upd:2026-08-24 | lic:MIT | DocuSeal Python Document Signing API client
