OpenSignLabs/OpenSign | ★6941 | upd:2026-08-21 | lic:NOASSERTION | 🔥 The free & Open Source DocuSign alternative
openfort-xyz/opensigner | ★124 | upd:2026-08-28 | lic:MIT | Open-source and self-hostable wallet key management. Create non-custodial wallets for users in Ethereum and Solana
asifali411/OpenSignal | ★56 | upd:2026-03-18 | lic:MIT | A Desktop logical circuit simulator Application and Website built with Tauri.
councilofelders/opensignals | ★54 | upd:2024-01-12 | lic:Apache-2.0 | 
atchai/opensign | ★46 | upd:2019-05-17 | lic:none | OpenSign is a fully decentralized document signing and notary system. #ethereum #blockchain
richshaw/OpenSignup | ★19 | upd:2026-08-31 | lic:NOASSERTION | Create signup sheets, for schools, sports teams, volunteering 
PGomes92/opensignalsreader | ★18 | upd:2019-06-06 | lic:MIT | Python package to read OpenSignals (r)evolution files and automatic sensor data conversion using BITalino (r)evolution transfer functions.
davidschedler/OpenSignage | ★11 | upd:2020-02-12 | lic:GPL-3.0 | A plugin based digital signage system for embedded systems (Raspberry Pi 4) created with Qt WebAssembly
QEDK/opensignal | ★8 | upd:2023-03-06 | lic:Apache-2.0 | 
pluxbiosignals/opensignals-samples | ★6 | upd:2024-10-25 | lic:Apache-2.0 | This repository provides practical resources showing how to explore OpenSignals' functionalities.
georgexyz19/OpenSignTool | ★6 | upd:2022-04-02 | lic:MIT | An open source traffic sign design software designed as an Inkscape extension.
sugia/opensign | ★5 | upd:2026-01-09 | lic:Apache-2.0 | The Open-Source Solution for Digital Signatures
amyipdev/OpenSignal | ★5 | upd:2025-05-07 | lic:none | Automate sending DMs to members of Signal groups
hgamboa/OpenSignals | ★3 | upd:2013-10-31 | lic:none | Software for biosignals acquisition with the BITalino and visualization in realtime
chirag1807/opensign-frontend-flutter | ★3 | upd:2023-09-18 | lic:none | 
