nextcloud/calendar | ★1184 | upd:2026-09-01 | lic:AGPL-3.0 | 📆 Calendar app for Nextcloud
aluxnimm/outlookcaldavsynchronizer | ★1086 | upd:2026-08-17 | lic:AGPL-3.0 | Sync Outlook with Google, SOGo, Nextcloud or any other CalDAV/CardDAV server
KashCal/KashCal | ★387 | upd:2026-08-30 | lic:NOASSERTION | All your calendars in one Android app. Sync iCloud, Nextcloud, Fastmail, and more CalDAV servers, plus your device's Google and Outlook calendars. Private by default: no ads, no trackers, no account.
nextcloud/calendar_resource_management | ★75 | upd:2026-09-01 | lic:AGPL-3.0 | Resources back-end for the Nextcloud CalDAV server
BernieO/calcardbackup | ★68 | upd:2021-05-27 | lic:AGPL-3.0 | calcardbackup: moved to https://codeberg.org/BernieO/calcardbackup
adnw-vinc/hermes-nextcloud | ★51 | upd:2026-05-12 | lic:MIT | Hermes Agent skill for Nextcloud - manage files, notes, calendar, tasks, and contacts via WebDAV and CalDAV
iCalDAV/iCalDAV | ★12 | upd:2026-02-10 | lic:Apache-2.0 | Kotlin CalDAV client with offline sync and conflict resolution. Works with iCloud, Nextcloud, and other CalDAV servers.
kuehnelbs/node-red-contrib-nextcloud | ★11 | upd:2024-03-10 | lic:MIT | Collection of node-red nodes to download Calendars (CalDAV) and Contacts (CardDAV) and up- / download files (WebDAV)
thiswillbeyourgithub/Caldav-Tasks-API | ★8 | upd:2026-06-25 | lic:AGPL-3.0 | Python library and CLI for managing CalDAV tasks (VTODOs), supporting Nextcloud and other CalDAV servers with robust X-property handling.
anatosun/bdaysync | ★5 | upd:2026-01-14 | lic:MIT | Automated CardDAV to CalDAV birthday synchronization service. Fetches contacts from CardDAV servers and creates recurring birthday events in CalDAV calendars. Features Docker support, cron scheduling, customizable templates, and works with Nextcloud, Baikal, Radicale, SOGo.
texxasrulez/calendar | ★4 | upd:2026-05-02 | lic:AGPL-3.0 | Caldav Calendar for Roundcube to sync with Nextcloud
szmt/simplelivingiscomplex | ★4 | upd:2021-02-11 | lic:GPL-3.0 | A tool to generate caldav-calendar events with a due date from your todotxt file. It either works with a local or a webdav hosted todo.txt file.
gelse/caldav-mcp | ★4 | upd:2026-08-28 | lic:MIT | An MCP server that bridges AI assistants to CalDAV calendars. 14 tools for listing, creating, updating, deleting, and searching events across Nextcloud, Radicale, Baikal, iCloud, and more. Stateless, Dockerized, two-layer auth. Python 3.13.
STARDUSTLC666/dsh-calendar | ★3 | upd:2026-08-31 | lic:MIT | DeepSeek Harness 日历插件：calendar_list/create/update/delete/search/health 六工具，CalDAV 支持 Google/iCloud/Nextcloud/自定义端点，RRULE 自动展开，插件级 proxyUrl；纯 Node 全平台。· CalDAV calendar tools for DeepSeek Harness agents.
noafilou/bewegungskalender | ★3 | upd:2025-07-02 | lic:Apache-2.0 | A Script that automatically fetches events from a nextcloud caldav server and sends them to Telegram via a Bot.
