opf/openproject | ★15984 | upd:2026-09-01 | lic:GPL-3.0 | OpenProject is the leading open source project management software for product, project and portfolio management. A powerful Jira alternative with agi
naimul3070/Install-OpenProject-Project-Managmen-Software-local-servert | ★12 | upd:2022-08-30 | lic:none | Opensource for universities, educational institutions, research, IT / technology companies, NGOs, administrations, foundations, public institutions, a
devspoons/devspoon-startup-tizen | ★5 | upd:2026-07-24 | lic:MIT | building Tizen development environment solution made by docker and docker-compose. this open source include devspoon-web(nginx web solution supporting
devspoons/devspoon-startup-cloud-tizen | ★5 | upd:2026-07-24 | lic:MIT | building Tizen cloud server made by docker and docker-compose. this open source include devspoon-web(nginx web solution supporting php,gunicorn,uwsgi)
devspoons/devspoon-startup-web | ★4 | upd:2026-07-24 | lic:MIT | building project management solutions by docker and docker-compose. this open source support jenkins, gitolite, openproject, harbor. it include buildi
ragnvald/openclaw-skill-openproject | ★2 | upd:2026-02-24 | lic:MIT | OpenClaw skill for OpenProject project management, weekly summaries, and decision logging.
florisjanssens/openproject-management_plugin | ★2 | upd:2020-07-02 | lic:none | Plugin to bulk manage OpenProject Users, Groups, Roles and Projects
LLR1/universal-wp-migration | ★2 | upd:2025-04-04 | lic:none | A Python-based utility for extracting, transforming, and loading work packages between project management systems (e.g., OpenProject and Jira).
brunofin/openproject-mcp | ★1 | upd:2026-07-15 | lic:none | A Model Context Protocol (MCP) server that enables AI agents to interact with OpenProject's APIv3 for autonomous project management.
stoic1979/openproject | ★1 | upd:2016-04-07 | lic:none | A quick project management tool
sardanaaman/OpenProjects | ★1 | upd:2016-11-29 | lic:none | A minimal-and-robust Project Management Tool (for teams) that works on preferences.
DanielJohnHarty/AWS_ProjectManagementSystem | ★1 | upd:2022-12-08 | lic:none | Python script to build AWS infrastructure to host an EC2, publicly accessible OpenProject instance. Includes a destroy feature to completely remove th
midorikocak/openproject | ★0 | upd:2012-10-29 | lic:none | Open Source Project Management Software
illini-robomaster/OpenProject_management | ★0 | upd:2025-08-25 | lic:none | 
Hejie-Guo/Openproject_manage | ★0 | upd:2026-06-18 | lic:none | build a project management
